number,title,author,category,source_visual_page,source_insights_page,hires_png,web_image
1,The 7 Habits of Highly Effective People,Stephen R. Covey,Mindset & Growth,7,8,hires_png/ayvede-infographic-01.png,web_images/ayvede-infographic-01.webp
2,Emotional Intelligence,Daniel Goleman,Communication & Relationships,9,10,hires_png/ayvede-infographic-02.png,web_images/ayvede-infographic-02.webp
3,The 80/20 Principle,Richard Koch,Productivity & Execution,11,12,hires_png/ayvede-infographic-03.png,web_images/ayvede-infographic-03.webp
4,How to Talk to Anyone,Leil Lowndes,Communication & Relationships,13,14,hires_png/ayvede-infographic-04.png,web_images/ayvede-infographic-04.webp
5,"Thinking, Fast and Slow",Daniel Kahneman,Mindset & Growth,15,16,hires_png/ayvede-infographic-05.png,web_images/ayvede-infographic-05.webp
6,13 Things Mentally Strong People Don't Do,Amy Morin,Mindset & Growth,17,18,hires_png/ayvede-infographic-06.png,web_images/ayvede-infographic-06.webp
7,How to Stop Worrying and Start Living,Dale Carnegie,"Purpose, Meaning & Wellbeing",19,20,hires_png/ayvede-infographic-07.png,web_images/ayvede-infographic-07.webp
8,The 5 Love Languages,Gary D. Chapman,Communication & Relationships,21,22,hires_png/ayvede-infographic-08.png,web_images/ayvede-infographic-08.webp
9,Ikigai,"Héctor García, Francesc Miralles","Purpose, Meaning & Wellbeing",23,24,hires_png/ayvede-infographic-09.png,web_images/ayvede-infographic-09.webp
10,12 Rules for Life,Jordan B. Peterson,Mindset & Growth,25,26,hires_png/ayvede-infographic-10.png,web_images/ayvede-infographic-10.webp
11,The Happiness Hypothesis,Jonathan Haidt,"Purpose, Meaning & Wellbeing",27,28,hires_png/ayvede-infographic-11.png,web_images/ayvede-infographic-11.webp
12,Talking to Strangers,Malcolm Gladwell,Communication & Relationships,29,30,hires_png/ayvede-infographic-12.png,web_images/ayvede-infographic-12.webp
