number,title,author,category_id,category_name,anchor,motif_family,motif_basis,content_source,visual_rendering,third_party_images,third_party_logos,headway_assets,public_publish_status
1,The 7 Habits of Highly Effective People,Stephen R. Covey,mindset,Mindset & Growth,gallery-i-01,ladder,vertical progression of the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
2,Emotional Intelligence,Daniel Goleman,communication,Communication & Relationships,gallery-i-02,cycle,closed loop of the framework chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
3,The 80/20 Principle,Richard Koch,productivity,Productivity & Execution,gallery-i-03,balance,fulcrum weighing the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
4,How to Talk to Anyone,Leil Lowndes,communication,Communication & Relationships,gallery-i-04,steps,ordered ascending stages from the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
5,"Thinking, Fast and Slow",Daniel Kahneman,mindset,Mindset & Growth,gallery-i-05,exchange,two opposed columns with crossing paths,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
6,13 Things Mentally Strong People Don't Do,Amy Morin,mindset,Mindset & Growth,gallery-i-06,matrix,two-by-two quadrants from the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
7,How to Stop Worrying and Start Living,Dale Carnegie,purpose,"Purpose, Meaning & Wellbeing",gallery-i-07,path,waypoint route through the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
8,The 5 Love Languages,Gary D. Chapman,communication,Communication & Relationships,gallery-i-08,orbit,concentric rings with chip satellites,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
9,Ikigai,"Héctor García, Francesc Miralles",purpose,"Purpose, Meaning & Wellbeing",gallery-i-09,compass,four-axis orientation of the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
10,12 Rules for Life,Jordan B. Peterson,mindset,Mindset & Growth,gallery-i-10,stack,"layered slabs, one per chip",Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
11,The Happiness Hypothesis,Jonathan Haidt,purpose,"Purpose, Meaning & Wellbeing",gallery-i-11,bridge,two anchors joined by a span,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
12,Talking to Strangers,Malcolm Gladwell,communication,Communication & Relationships,gallery-i-12,network,peer nodes and relations between chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
13,Steal Like an Artist,Austin Kleon,purpose,"Purpose, Meaning & Wellbeing",gallery-i-13,cycle,closed loop of the framework chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
14,Thinking in Systems,"Donella H. Meadows, Diana Wright",leadership,Leadership & Teams,gallery-i-14,systemMap,central node with feedback loops,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
15,Scrum,"Chris Sims, Hillary Louise Johnson",productivity,Productivity & Execution,gallery-i-15,cycle,closed loop of the framework chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
16,Start with No,Jim Camp,leadership,Leadership & Teams,gallery-i-16,tree,branching decision from the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
17,Atomic Habits,James Clear,habits,Habits & Daily Systems,gallery-i-17,steps,ordered ascending stages from the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
18,Boundaries,"Dr. Henry Cloud, Dr. John Townsend",communication,Communication & Relationships,gallery-i-18,matrix,two-by-two quadrants from the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
19,The 5-Second Rule,Mel Robbins,habits,Habits & Daily Systems,gallery-i-19,funnel,narrowing selection across the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
20,The Healthy Mind Toolkit,"Alice Boyes, PhD",mindset,Mindset & Growth,gallery-i-20,path,waypoint route through the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
21,The Miracle Morning,Hal Elrod,habits,Habits & Daily Systems,gallery-i-21,ladder,vertical progression of the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
22,Influence,"Robert B. Cialdini, PhD",communication,Communication & Relationships,gallery-i-22,network,peer nodes and relations between chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
23,The Subtle Art of Not Giving a F*ck,Mark Manson,purpose,"Purpose, Meaning & Wellbeing",gallery-i-23,balance,fulcrum weighing the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
24,Creative Confidence,"Tom Kelley, David Kelley",leadership,Leadership & Teams,gallery-i-24,cycle,closed loop of the framework chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
25,Why We Sleep,Matthew Walker,habits,Habits & Daily Systems,gallery-i-25,orbit,concentric rings with chip satellites,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
26,Mini Habits,Stephen Guise,habits,Habits & Daily Systems,gallery-i-26,ladder,vertical progression of the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
27,The Life-Changing Magic of Tidying Up,Marie Kondō,habits,Habits & Daily Systems,gallery-i-27,steps,ordered ascending stages from the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
28,The 10X Rule,Grant Cardone,mindset,Mindset & Growth,gallery-i-28,ladder,vertical progression of the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
29,"Creativity, Inc.","Ed Catmull, Amy Wallace",leadership,Leadership & Teams,gallery-i-29,systemMap,central node with feedback loops,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
30,The One Thing,"Gary Keller, Jay Papasan",productivity,Productivity & Execution,gallery-i-30,funnel,narrowing selection across the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
31,How to Stop Procrastinating,S.J. Scott,productivity,Productivity & Execution,gallery-i-31,steps,ordered ascending stages from the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
32,What the Most Successful People Do Before Breakfast,Laura Vanderkam,habits,Habits & Daily Systems,gallery-i-32,path,waypoint route through the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
33,Make Your Bed,Admiral William H. McRaven,habits,Habits & Daily Systems,gallery-i-33,ladder,vertical progression of the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
34,The Willpower Instinct,"Kelly McGonigal, Ph.D.",habits,Habits & Daily Systems,gallery-i-34,balance,fulcrum weighing the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
35,15 Secrets Successful People Know About Time Management,Kevin Kruse,productivity,Productivity & Execution,gallery-i-35,matrix,two-by-two quadrants from the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
36,The 5 AM Club,Robin Sharma,habits,Habits & Daily Systems,gallery-i-36,cycle,closed loop of the framework chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
37,Eat That Frog!,Brian Tracy,productivity,Productivity & Execution,gallery-i-37,funnel,narrowing selection across the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
38,Declutter Your Mind,"S.J. Scott, Barrie Davenport",purpose,"Purpose, Meaning & Wellbeing",gallery-i-38,funnel,narrowing selection across the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
39,Limitless,Jim Kwik,mindset,Mindset & Growth,gallery-i-39,systemMap,central node with feedback loops,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
40,Getting Things Done,David Allen,productivity,Productivity & Execution,gallery-i-40,cycle,closed loop of the framework chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
